"spec","site","basin","merged","region","maxl","maxw","maxth","maxstl","maxstw","maxbl","maxshw","size","geo.mean","sh.maxbl","sh.maxw","sh.maxshw","sh.maxth","sh.maxstl","sh.maxstw"
"678","41cp20","Red","north_L","north",24.98,13.33,3.26,4.19,3.54,20.79,9.79,"L",7.96204366267251,0.959786393424327,0.515331425745023,0.206675748096824,-0.892958513066979,-0.641984974511548,-0.810558981299912
"na49-1","41na49","Neches","south_L","south",47.74,15.14,4.52,6.82,6.22,40.92,8.92,"L",7.96204366267251,1.63693323263783,0.642654539563708,0.113610238146324,-0.566173714601455,-0.154826236590224,-0.246915801694507
"na49-10","41na49","Neches","south_S","south",22.88,12.13,3.68,5.73,5.49,17.15,6.64,"S",7.96204366267251,0.767312465166354,0.420996014510364,-0.181573744957252,-0.771772956264755,-0.328970177718946,-0.371757452924155
"na49-11","41na49","Neches","south_S","south",24.09,12.52,3.27,5.36,4.81,18.73,7.71,"S",7.96204366267251,0.855440808010402,0.452641657226358,-0.0321675208703565,-0.889895723536433,-0.395721733362884,-0.503988624327925
"na49-12","41na49","Neches","south_S","south",21.41,10.31,3.48,4.64,3.82,16.77,6.49,"S",7.96204366267251,0.744905867389523,0.258428589583274,-0.204423177729596,-0.827653414659212,-0.539971342207431,-0.734435285827111
"na49-13","41na49","Neches","south_S","south",24.84,11.21,3.51,5.19,4.97,19.65,6.24,"S",7.96204366267251,0.903391629869676,0.342120528638474,-0.243705526064258,-0.81906967096782,-0.427952011267797,-0.471265868337057
"na49-14","41na49","Neches","south_S","south",21.92,9.35,2.62,5.22,4.85,16.7,4.5,"S",7.96204366267251,0.740723010977115,0.160690634855001,-0.570608311669321,-1.11151139067259,-0.422188306551047,-0.495707003496203
"na49-2","41na49","Neches","south_L","south",32.49,12.78,3.8,6.8,4.78,25.69,8,"L",7.96204366267251,1.1714161026762,0.473195740503794,0.004755833234241,-0.739684641713255,-0.157763096263534,-0.51024516194223
"na49-3","41na49","Neches","south_S","south",27.72,13.05,4.19,5.99,5.88,21.73,7.17,"S",7.96204366267251,1.00400808582274,0.494102425323108,-0.104780053834066,-0.641984974511548,-0.284594296318237,-0.303128946535059
"na49-4","41na49","Neches","south_S","south",26.2,10.6,3.3,4.67,4.92,21.53,5.68,"S",7.96204366267251,0.994761602930677,0.286168292672427,-0.337734475712535,-0.88076323997316,-0.533526636764789,-0.481377177941378
"na49-7","41na49","Neches","south_S","south",24.25,12.01,2.92,6.01,4.93,18.24,7.08,"S",7.96204366267251,0.828931276200591,0.411053927646297,-0.117411800739966,-1.0031020921654,-0.281260959898479,-0.479346720390996
"na49-8","41na49","Neches","south_S","south",22.06,14.51,2.92,5.67,5.17,16.39,9.34,"S",7.96204366267251,0.721985684310144,0.600152358450502,0.159620543795156,-1.0031020921654,-0.339496590705934,-0.431813019925257
"na49-9","41na49","Neches","south_S","south",25.44,13.86,3.44,4.74,4.81,20.7,9.05,"S",7.96204366267251,0.955447991825729,0.554321285316163,0.12807904926624,-0.839214237060288,-0.51864857273861,-0.503988624327925
"f2-g2-5","41sy27","Sabine","south_S","south",24.92,16.16,3.57,4.44,4.25,20.48,11.91,"S",7.96204366267251,0.944763091725712,0.707853344647355,0.402692674921614,-0.802120112654047,-0.584031332001461,-0.627766725509269
"f2-g2-10","41sy27","Sabine","south_L","south",34.69,16.4,3.29,6.12,4.14,28.57,12.26,"L",7.96204366267251,1.27767150779709,0.722595626384558,0.43165622206247,-0.883798143668314,-0.26312361192136,-0.653989920608372
"f2-g2-15","41sy27","Sabine","south_L","south",34.17,20,3.09,8.34,5.68,25.83,14.32,"L",7.96204366267251,1.17685089866215,0.921046565108396,0.586971453086905,-0.946514617535941,0.0463775079250608,-0.337734475712535
"f2-g2-9","41sy27","Sabine","south_L","south",39.39,16.73,2.95,6.28,4.9,33.11,11.83,"L",7.96204366267251,1.42514964311356,0.742517806553138,0.395952969544701,-0.992880538093866,-0.237315727965487,-0.485450503329014
"f2-g2-14","41sy27","Sabine","south_L","south",30.36,15.72,2.58,6.11,4.51,24.25,11.21,"L",7.96204366267251,1.1137309089379,0.680248078555466,0.342120528638474,-1.12689630951207,-0.264758935262091,-0.568388554931008
